Borough,FIPS County Code,Code,Name,Total Population,Under 5 Years,5-9      Years,10-14 Years,15-19 Years,20-24 Years,25-29 Years,30-34 Years,35-39 Years,40-44 Years,45-49 Years,50-54 Years,55-59 Years,60-64 Years,65 Years and Over,Median Age
Queens,81,QN08,St. Albans,48593,2799,2943,3325,3825,3619,3098,2910,3012,3421,3935,3764,2929,2529,6484,38
Queens,81,QN10,Breezy Point-Belle Harbor-Rockwy Prk-Broad Chnl,28018,1454,1595,1574,1684,1385,1473,1400,1646,1894,2250,2427,2281,1956,4999,44.8
Queens,81,QN12,Hammels-Arverne-Edgemere,36885,2853,2834,2933,3106,2743,2375,2545,2439,2502,2634,2336,2001,1737,3847,33
Queens,81,QN15,Far Rockaway-Bayswater,50058,4557,3846,3661,3939,3659,3674,3324,3009,2945,3003,2967,2792,2214,6468,32.5
Queens,81,QN17,Forest Hills,83728,4660,3586,2951,3122,3978,6366,7389,6941,5868,5868,6094,5882,5560,15463,42.3
Queens,81,QN18,Rego Park,28260,1437,1214,1172,1204,1597,2193,2297,2162,1942,2061,2160,2120,1959,4742,41.9
Queens,81,QN19,Glendale,32496,1941,1890,1998,2149,2175,2381,2391,2313,2476,2543,2407,2000,1671,4161,38
Queens,81,QN20,Ridgewood,69317,4881,4350,4220,4641,5421,6793,6497,5568,5072,4706,4610,3747,2861,5950,33.2
Queens,81,QN21,Middle Village,37929,1938,1928,1850,1846,2005,2500,2674,2635,2832,2863,2935,2698,2315,6910,42.8
Queens,81,QN22,Flushing,72008,3236,3044,2739,3474,4861,5393,5182,5347,5746,6333,5951,5077,4124,11501,42.3
Queens,81,QN23,College Point,24275,1576,1401,1421,1494,1721,1757,1988,1840,1737,1861,1769,1576,1219,2915,37
Queens,81,QN25,Corona,57658,4490,3874,3391,3907,4883,5424,5053,4563,4054,3804,3541,2917,2389,5368,32.7
Queens,81,QN26,North Corona,52037,4677,3776,2987,3466,5546,6365,5664,4776,3804,2968,2316,1689,1347,2656,29.4
Queens,81,QN27,East Elmhurst,23150,1621,1479,1431,1816,1944,2030,1761,1655,1710,1623,1488,1237,958,2397,33.3
Queens,81,QN28,Jackson Heights,108152,6745,5855,5701,6302,7846,8811,9328,9017,8417,8006,7397,6600,5328,12799,36.9
Queens,81,QN29,Elmhurst,88427,5588,4970,4432,5050,7265,8837,8030,7333,6804,6510,5908,5022,4079,8599,35
Queens,81,QN30,Maspeth,30516,1970,1799,1683,1713,1959,2341,2500,2427,2358,2184,2313,1863,1573,3833,37.7
Queens,81,QN31,Hunters Point-Sunnyside-West Maspeth,63271,3449,2665,2459,2693,4407,7736,7779,6242,5243,4264,3871,3357,2871,6235,35.3
Queens,81,QN33,Cambria Heights,18677,907,977,1064,1291,1225,1081,1100,1133,1294,1495,1393,1249,1170,3298,42.2
